Time,Month,Year,Liquor.Sales
192,12,1995,2135
193,1,1996,1369
194,2,1996,1320
195,3,1996,1448
196,4,1996,1495
197,5,1996,1522
198,6,1996,1575
199,7,1996,1666
200,8,1996,1617
201,9,1996,1567
202,10,1996,1551
203,11,1996,1624
204,12,1996,2367
205,1,1997,1377
206,2,1997,1294
207,3,1997,1401
208,4,1997,1362
209,5,1997,1466
210,6,1997,1559
211,7,1997,1569
212,8,1997,1575
213,9,1997,1456
214,10,1997,1487
215,11,1997,1549
216,12,1997,2178
217,1,1998,1423
218,2,1998,1312
219,3,1998,1465
220,4,1998,1488
221,5,1998,1577
222,6,1998,1591
223,7,1998,1669
224,8,1998,1697
225,9,1998,1659
226,10,1998,1597
227,11,1998,1728
228,12,1998,2326
229,1,1999,1529
230,2,1999,1395
231,3,1999,1567
232,4,1999,1536
233,5,1999,1682
234,6,1999,1675
235,7,1999,1758
236,8,1999,1708
237,9,1999,1561
238,10,1999,1643
239,11,1999,1635
240,12,1999,2240
241,1,2000,1485
242,2,2000,1376
243,3,2000,1459
244,4,2000,1526
245,5,2000,1659
246,6,2000,1623
247,7,2000,1731
248,8,2000,1662
249,9,2000,1589
250,10,2000,1683
251,11,2000,1672
252,12,2000,2361
253,1,2001,1480
254,2,2001,1385
255,3,2001,1505
256,4,2001,1576
257,5,2001,1649
258,6,2001,1684
259,7,2001,1748
260,8,2001,1642
261,9,2001,1571
262,10,2001,1567
263,11,2001,1637
264,12,2001,2397
265,1,2002,1483
266,2,2002,1390
267,3,2002,1562
268,4,2002,1573
269,5,2002,1718
270,6,2002,1752
271,7,2002,1809
272,8,2002,1759
273,9,2002,1698
274,10,2002,1643
275,11,2002,1718
276,12,2002,2399
277,1,2003,1551
278,2,2003,1497
279,3,2003,1697
280,4,2003,1672
281,5,2003,1805
282,6,2003,1903
283,7,2003,1928
284,8,2003,1963
285,9,2003,1807
286,10,2003,1843
287,11,2003,1950
288,12,2003,2736
289,1,2004,1798
290,2,2004,1700
291,3,2004,1901
292,4,2004,1820
293,5,2004,1982
294,6,2004,1957
295,7,2004,2076
296,8,2004,2107
297,9,2004,1799
298,10,2004,1854
299,11,2004,1968
300,12,2004,2364
301,1,2005,1662
302,2,2005,1681
303,3,2005,1725
304,4,2005,1796
305,5,2005,1938
306,6,2005,1871
307,7,2005,2001
308,8,2005,1934
309,9,2005,1825
310,10,2005,1930
311,11,2005,1867
312,12,2005,2553
313,1,2006,1624
314,2,2006,1533
315,3,2006,1676
316,4,2006,1706
317,5,2006,1781
318,6,2006,1772
319,7,2006,1922
320,8,2006,1743
321,9,2006,1669
322,10,2006,1713
323,11,2006,1733
324,12,2006,2369
325,1,2007,1491
326,2,2007,1445
327,3,2007,1643
328,4,2007,1683
329,5,2007,1751
330,6,2007,1774
331,7,2007,1893
332,8,2007,1776
333,9,2007,1743
334,10,2007,1728
335,11,2007,1769
336,12,2007,2431
