Employee	EducLev	JobGrade	Age	YrsPrior	PCJob	Gender	YrsExper	Salary
71	1	2	31	9	No	Female	5	32000
72	1	2	50	0	No	Female	9	30800
73	5	2	47	3	Yes	Female	3	42000
74	3	2	35	0	No	Male	4	34000
75	2	2	43	0	No	Female	16	32500
76	2	2	46	10	No	Female	9	31700
77	5	2	35	0	No	Male	3	36500
78	3	2	22	0	No	Male	4	33000
79	2	2	58	0	No	Female	8	31200
80	5	2	40	0	No	Female	8	34000
81	3	2	30	0	No	Female	6	33000
82	5	2	29	4	No	Female	4	33900
83	1	2	31	9	Yes	Female	3	39000
84	2	2	52	18	No	Male	12	34920
85	5	2	33	5	No	Male	3	39000
86	1	2	49	0	No	Female	8	34000
87	2	2	34	7	No	Female	6	31900
88	5	2	26	1	No	Male	3	37000
89	5	2	28	0	No	Male	4	34000
90	5	2	35	2	No	Female	3	36400
91	1	2	47	1	Yes	Female	15	38200
92	1	2	51	0	No	Female	15	35300
93	3	2	26	2	No	Male	3	34500
94	3	2	33	0	No	Female	12	30500
95	4	2	27	2	No	Male	2	30000
96	5	2	34	0	Yes	Female	8	37300
97	4	2	29	0	No	Female	5	40200
98	3	2	27	0	No	Male	5	35500
99	1	2	43	0	No	Female	11	35000
100	3	2	36	3	No	Female	4	38000
101	1	2	38	0	No	Female	9	35300
102	2	2	60	0	No	Female	14	34100
103	3	3	43	5	Yes	Female	4	43200
104	2	3	48	5	No	Female	15	36100
105	5	3	32	3	No	Female	7	34600
106	3	3	31	0	No	Male	5	36000
107	5	3	29	2	No	Female	7	36200
108	3	3	35	0	No	Female	7	37500
109	3	3	37	12	No	Female	4	41000
110	2	3	43	0	No	Female	10	35600
111	3	3	33	5	No	Female	5	39800
112	4	3	58	4	Yes	Female	11	41300
113	3	3	44	7	No	Female	9	42500
114	3	3	37	8	Yes	Female	4	45800
115	5	3	48	6	No	Female	5	34900
116	5	3	26	0	No	Male	4	41500
117	3	3	25	0	No	Female	5	38000
118	4	3	38	0	No	Female	6	35000
119	3	3	41	0	No	Female	6	40000
120	3	3	29	0	No	Male	5	36000
121	2	3	59	0	No	Female	9	33700
122	2	3	29	4	No	Male	5	36300
123	3	3	27	2	Yes	Female	3	38000
124	5	3	30	0	No	Female	4	39500
125	2	3	34	5	No	Female	7	36300
126	3	3	35	2	No	Female	8	32500
127	2	3	50	6	No	Female	12	37000
128	5	3	33	1	No	Female	3	32600
129	3	3	26	0	No	Female	4	36000
130	5	3	36	0	No	Female	3	35000
131	5	3	33	5	Yes	Female	3	43600
132	3	3	47	0	No	Female	8	33800
133	1	3	51	0	No	Female	21	35300
134	1	3	42	6	No	Female	16	42400
135	5	3	31	0	No	Male	5	39500
136	2	3	62	10	No	Female	25	43500
137	5	3	46	1	No	Male	6	42000
138	3	3	60	9	No	Female	21	40300
139	4	3	43	5	No	Male	6	44000
140	1	3	53	2	No	Female	25	40660
141	3	3	38	1	No	Female	13	39700
142	5	3	39	5	No	Female	6	45000
143	5	3	35	0	No	Female	7	43900
144	4	3	40	3	No	Female	8	38000
145	5	3	32	3	No	Female	5	39020
146	5	4	33	3	No	Male	5	44500
147	5	4	30	1	No	Male	4	41000
148	5	4	37	3	No	Male	6	44000
149	5	4	30	0	No	Male	6	44000
150	5	4	32	4	No	Female	5	42500
151	5	4	37	3	No	Female	7	40260
152	5	4	29	1	No	Male	5	44500
153	1	4	50	9	No	Female	13	35500
154	5	4	29	0	No	Male	6	42500
155	5	4	32	0	No	Female	7	44000
156	5	4	31	2	No	Male	6	45000
157	2	4	47	4	No	Female	15	44400
158	3	4	44	0	No	Female	17	38000
159	5	4	27	0	No	Male	4	41800
160	1	4	55	0	No	Male	23	45500
161	3	4	52	4	No	Male	5	42500
162	5	4	50	12	No	Female	3	44000
163	3	4	59	8	Yes	Female	19	54300
164	3	4	47	0	No	Female	26	44800
165	3	4	43	4	No	Male	6	47000
166	5	4	41	0	No	Female	15	43800
167	1	4	39	4	Yes	Female	12	48000
168	5	4	39	0	No	Female	9	42700
169	3	4	40	1	Yes	Female	14	48500
170	3	4	49	0	No	Female	16	42000
171	2	4	53	1	No	Female	16	45500
172	3	4	37	0	No	Female	11	44500
173	2	4	40	2	No	Female	13	51200
174	5	5	34	0	No	Male	7	47500
175	5	5	37	0	No	Female	8	44500
176	5	5	31	0	No	Male	8	47000
177	5	5	41	10	No	Male	6	47000
178	3	5	46	4	No	Female	17	43100
179	5	5	37	2	No	Male	8	49000
180	5	5	33	0	No	Male	8	48500
181	3	5	35	5	No	Female	8	45000
182	5	5	49	5	No	Female	16	52500
183	5	5	33	2	No	Male	6	47500
184	5	5	31	0	No	Male	7	48000
185	5	5	49	4	No	Male	8	46500
186	5	5	40	2	No	Female	12	61500
187	5	5	37	2	No	Female	9	50000
188	5	5	46	2	No	Female	12	61800
189	4	5	43	0	No	Female	16	43000
190	5	5	36	1	No	Male	11	47000
191	5	5	37	6	No	Female	9	58500
192	5	5	40	7	No	Male	16	55000
193	3	5	54	3	No	Male	24	57000
194	5	5	57	1	No	Male	17	57000
195	5	6	49	0	No	Male	14	60000
196	3	6	41	0	No	Male	13	60000
197	5	6	59	4	No	Male	19	59000
198	5	6	51	0	No	Male	12	60000
199	5	6	45	0	No	Male	20	65000
200	5	6	56	1	No	Male	20	52000
201	5	6	57	0	No	Male	22	58000
202	4	6	53	0	No	Male	21	60000
203	5	6	65	0	No	Male	39	74000
204	3	6	60	0	No	Male	34	95000
205	5	6	61	0	No	Male	36	97000
206	5	6	62	0	No	Male	32	88000
207	5	6	59	0	No	Male	35	94000
208	5	6	62	0	No	Female	33	30000
